   TIME       H          H-         H+         H2+        H3+        He+        He         HeH+       C+         C        
   1.259E+00  5.005E-05  3.510E-15  1.190E-12  2.825E-13  5.349E-12  9.547E-12  9.000E-02  4.345E-15  1.399E-04  1.249E-07
   1.585E+00  5.009E-05  3.514E-15  2.687E-12  2.826E-13  5.357E-12  2.155E-11  9.000E-02  4.345E-15  1.397E-04  2.833E-07
   1.995E+00  5.016E-05  3.519E-15  4.572E-12  2.826E-13  5.366E-12  3.662E-11  9.000E-02  4.346E-15  1.395E-04  4.845E-07
   2.512E+00  5.025E-05  3.525E-15  6.942E-12  2.827E-13  5.378E-12  5.556E-11  9.000E-02  4.348E-15  1.392E-04  7.401E-07
   3.162E+00  5.037E-05  3.534E-15  9.923E-12  2.828E-13  5.393E-12  7.931E-11  9.000E-02  4.349E-15  1.388E-04  1.065E-06
   3.981E+00  5.054E-05  3.546E-15  1.367E-11  2.829E-13  5.413E-12  1.091E-10  9.000E-02  4.351E-15  1.384E-04  1.479E-06
   5.012E+00  5.077E-05  3.561E-15  1.838E-11  2.830E-13  5.437E-12  1.464E-10  9.000E-02  4.353E-15  1.378E-04  2.005E-06
   6.310E+00  5.109E-05  3.581E-15  2.429E-11  2.832E-13  5.469E-12  1.929E-10  9.000E-02  4.356E-15  1.371E-04  2.674E-06
   7.943E+00  5.152E-05  3.608E-15  3.170E-11  2.834E-13  5.509E-12  2.510E-10  9.000E-02  4.360E-15  1.362E-04  3.521E-06
   1.000E+01  5.211E-05  3.644E-15  4.099E-11  2.837E-13  5.561E-12  3.232E-10  9.000E-02  4.365E-15  1.350E-04  4.591E-06
   1.259E+01  5.288E-05  3.690E-15  5.260E-11  2.840E-13  5.627E-12  4.127E-10  9.000E-02  4.371E-15  1.336E-04  5.935E-06
   1.585E+01  5.389E-05  3.750E-15  6.709E-11  2.844E-13  5.711E-12  5.230E-10  9.000E-02  4.379E-15  1.318E-04  7.616E-06
   1.995E+01  5.520E-05  3.828E-15  8.513E-11  2.849E-13  5.818E-12  6.582E-10  9.000E-02  4.388E-15  1.295E-04  9.703E-06
   2.512E+01  5.687E-05  3.926E-15  1.075E-10  2.855E-13  5.955E-12  8.225E-10  9.000E-02  4.399E-15  1.268E-04  1.228E-05
   3.162E+01  5.897E-05  4.052E-15  1.352E-10  2.862E-13  6.130E-12  1.020E-09  9.000E-02  4.413E-15  1.234E-04  1.542E-05
   3.981E+01  6.160E-05  4.210E-15  1.692E-10  2.871E-13  6.355E-12  1.253E-09  9.000E-02  4.429E-15  1.193E-04  1.923E-05
