  **  PHYSICAL PARAMETERS  **


   RADIUS      n(Htot)     TEMP        A_UV EFF    RAD. EFF    C K(PH)     C K(IP)     C K(AP)     CO K(PH)    CO K(IP)    CO K(AP)    DELTA_AUV   
   1.000E+014  5.009E+009  1.423E+003  1.246E+003  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  1.868E+003
   1.072E+014  4.363E+009  1.389E+003  1.162E+003  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  1.952E+003
   1.148E+014  3.800E+009  1.356E+003  1.085E+003  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.029E+003
   1.230E+014  3.310E+009  1.324E+003  1.012E+003  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.102E+003
   1.318E+014  2.882E+009  1.292E+003  9.449E+002  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.169E+003
   1.413E+014  2.511E+009  1.261E+003  8.818E+002  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.232E+003
   1.514E+014  2.187E+009  1.231E+003  8.230E+002  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.291E+003
   1.622E+014  1.904E+009  1.202E+003  7.680E+002  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.346E+003
   1.738E+014  1.659E+009  1.173E+003  7.168E+002  1.917E-314  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.397E+003
   1.862E+014  1.445E+009  1.145E+003  6.689E+002  1.255E-293  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.445E+003
   1.995E+014  1.258E+009  1.118E+003  6.243E+002  3.352E-274  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.490E+003
   2.138E+014  1.096E+009  1.091E+003  5.826E+002  4.522E-256  6.605E-306  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.531E+003
   2.291E+014  9.545E+008  1.065E+003  5.437E+002  3.761E-239  9.351E-286  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.570E+003
   2.455E+014  8.313E+008  1.039E+003  5.074E+002  2.322E-223  1.172E-263  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.607E+003
   2.630E+014  7.240E+008  1.015E+003  4.736E+002  1.266E-208  8.316E-251  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.640E+003
   2.818E+014  6.306E+008  9.904E+002  4.420E+002  7.170E-195  8.136E-234  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.672E+003
   3.020E+014  5.492E+008  9.667E+002  4.125E+002  4.905E-182  4.401E-219  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.702E+003
   3.236E+014  4.784E+008  9.436E+002  3.849E+002  4.667E-170  4.989E-205  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.729E+003
   3.467E+014  4.166E+008  9.211E+002  3.592E+002  7.045E-159  8.057E-193  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.755E+003
   3.715E+014  3.629E+008  8.991E+002  3.353E+002  1.908E-148  7.044E-180  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.779E+003
   3.981E+014  3.161E+008  8.776E+002  3.129E+002  1.040E-138  1.149E-168  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.801E+003
   4.266E+014  2.753E+008  8.566E+002  2.920E+002  1.269E-129  7.394E-159  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.822E+003
   4.571E+014  2.398E+008  8.362E+002  2.725E+002  3.834E-121  1.525E-147  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.841E+003
   4.898E+014  2.088E+008  8.162E+002  2.543E+002  3.145E-113  4.290E-140  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.860E+003
   5.248E+014  1.819E+008  7.967E+002  2.373E+002  7.648E-106  6.508E-131  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.877E+003
   5.623E+014  1.584E+008  7.777E+002  2.215E+002  5.977E-099  4.305E-122  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.892E+003
   6.026E+014  1.380E+008  7.591E+002  2.067E+002  1.619E-092  1.831E-115  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.907E+003
   6.457E+014  1.202E+008  7.410E+002  1.929E+002  1.633E-086  1.375E-109  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.921E+003
   6.918E+014  1.047E+008  7.233E+002  1.800E+002  6.549E-081  6.292E-102  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.934E+003
   7.413E+014  9.115E+007  7.060E+002  1.680E+002  1.111E-075  2.210E-095  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.946E+003
   7.943E+014  7.939E+007  6.891E+002  1.568E+002  8.444E-071  2.533E-091  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.957E+003
   8.511E+014  6.915E+007  6.727E+002  1.463E+002  3.036E-066  7.016E-086  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.968E+003
   9.120E+014  6.022E+007  6.566E+002  1.366E+002  5.433E-062  2.437E-079  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.977E+003
   9.772E+014  5.245E+007  6.409E+002  1.275E+002  5.073E-058  8.693E-076  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.987E+003
   1.047E+015  4.568E+007  6.256E+002  1.190E+002  2.583E-054  4.158E-071  0.000E+000  0.000E+000  1.955E-057  0.000E+000  0.000E+000  2.995E+003
   1.122E+015  3.979E+007  6.107E+002  1.110E+002  7.480E-051  4.592E-067  0.000E+000  0.000E+000  7.052E-055  0.000E+000  0.000E+000  3.003E+003
   1.202E+015  3.465E+007  5.961E+002  1.036E+002  1.280E-047  2.157E-064  0.000E+000  0.000E+000  3.570E-053  0.000E+000  0.000E+000  3.010E+003
   1.288E+015  3.018E+007  5.818E+002  9.669E+001  1.343E-044  1.225E-060  0.000E+000  0.000E+000  9.281E-051  0.000E+000  0.000E+000  3.017E+003
   1.380E+015  2.629E+007  5.679E+002  9.024E+001  8.927E-042  3.731E-056  0.000E+000  0.000E+000  7.678E-048  0.000E+000  0.000E+000  3.024E+003
   1.479E+015  2.290E+007  5.544E+002  8.421E+001  3.882E-039  1.984E-053  0.000E+000  0.000E+000  4.764E-046  0.000E+000  0.000E+000  3.030E+003
   1.585E+015  1.994E+007  5.411E+002  7.859E+001  1.136E-036  5.152E-051  0.000E+000  0.000E+000  1.900E-044  0.000E+000  0.000E+000  3.035E+003
   1.698E+015  1.737E+007  5.282E+002  7.335E+001  2.300E-034  7.340E-049  0.000E+000  0.000E+000  5.217E-043  0.000E+000  0.000E+000  3.041E+003
   1.820E+015  1.513E+007  5.156E+002  6.845E+001  3.299E-032  2.120E-046  0.000E+000  0.000E+000  2.368E-041  0.000E+000  0.000E+000  3.046E+003
   1.950E+015  1.318E+007  5.033E+002  6.388E+001  3.430E-030  1.177E-043  0.000E+000  0.000E+000  1.740E-039  0.000E+000  0.000E+000  3.050E+003
   2.089E+015  1.148E+007  4.912E+002  5.962E+001  2.640E-028  6.008E-042  0.000E+000  0.000E+000  2.584E-038  0.000E+000  0.000E+000  3.054E+003
   2.239E+015  9.995E+006  4.795E+002  5.564E+001  1.533E-026  1.073E-039  0.000E+000  0.000E+000  9.341E-037  0.000E+000  0.000E+000  3.058E+003
   2.399E+015  8.705E+006  4.681E+002  5.192E+001  6.845E-025  9.490E-038  0.000E+000  0.000E+000  2.142E-035  0.000E+000  0.000E+000  3.062E+003
   2.570E+015  7.582E+006  4.569E+002  4.846E+001  2.387E-023  4.096E-036  0.000E+000  0.000E+000  3.048E-034  0.000E+000  0.000E+000  3.066E+003
   2.754E+015  6.603E+006  4.460E+002  4.522E+001  6.608E-022  2.044E-034  0.000E+000  0.000E+000  4.931E-033  0.000E+000  0.000E+000  3.069E+003
   2.951E+015  5.751E+006  4.353E+002  4.221E+001  1.473E-020  5.798E-033  0.000E+000  0.000E+000  5.458E-032  0.000E+000  0.000E+000  3.072E+003
   3.162E+015  5.009E+006  4.249E+002  3.939E+001  2.681E-019  4.600E-031  0.000E+000  0.000E+000  1.311E-030  0.000E+000  0.000E+000  3.075E+003
   3.388E+015  4.363E+006  4.148E+002  3.676E+001  4.036E-018  5.714E-030  0.000E+000  0.000E+000  8.350E-030  0.000E+000  0.000E+000  3.077E+003
