  **  PHYSICAL PARAMETERS  **


   RADIUS      n(Htot)     TEMP        A_UV EFF    RAD. EFF    C K(PH)     C K(IP)     C K(AP)     CO K(PH)    CO K(IP)    CO K(AP)    DELTA_AUV   
   1.000E+014  1.503E+007  8.589E+002  3.737E+000  6.138E-003  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  5.605E+000
   1.072E+014  1.309E+007  8.184E+002  3.487E+000  8.243E-003  1.633E-012  0.000E+000  0.000E+000  2.315E-015  0.000E+000  0.000E+000  5.855E+000
   1.148E+014  1.140E+007  7.798E+002  3.255E+000  1.088E-002  2.241E-012  0.000E+000  0.000E+000  3.279E-015  0.000E+000  0.000E+000  6.087E+000
   1.230E+014  9.929E+006  7.430E+002  3.037E+000  1.412E-002  3.037E-012  0.000E+000  0.000E+000  4.603E-015  0.000E+000  0.000E+000  6.305E+000
   1.318E+014  8.647E+006  7.079E+002  2.835E+000  1.805E-002  3.982E-012  0.000E+000  0.000E+000  6.258E-015  0.000E+000  0.000E+000  6.507E+000
   1.413E+014  7.532E+006  6.745E+002  2.645E+000  2.274E-002  5.171E-012  0.000E+000  0.000E+000  8.451E-015  0.000E+000  0.000E+000  6.697E+000
   1.514E+014  6.560E+006  6.426E+002  2.469E+000  2.828E-002  6.678E-012  0.000E+000  0.000E+000  1.139E-014  0.000E+000  0.000E+000  6.873E+000
   1.622E+014  5.713E+006  6.123E+002  2.304E+000  3.471E-002  8.479E-012  0.000E+000  0.000E+000  1.513E-014  0.000E+000  0.000E+000  7.038E+000
   1.738E+014  4.976E+006  5.834E+002  2.150E+000  4.211E-002  1.061E-011  0.000E+000  0.000E+000  1.984E-014  0.000E+000  0.000E+000  7.192E+000
   1.862E+014  4.334E+006  5.559E+002  2.007E+000  5.052E-002  1.302E-011  0.000E+000  0.000E+000  2.551E-014  0.000E+000  0.000E+000  7.335E+000
   1.995E+014  3.775E+006  5.296E+002  1.873E+000  5.998E-002  1.548E-011  0.000E+000  0.000E+000  3.169E-014  0.000E+000  0.000E+000  7.469E+000
   2.138E+014  3.288E+006  5.046E+002  1.748E+000  7.051E-002  1.902E-011  0.000E+000  0.000E+000  4.118E-014  0.000E+000  0.000E+000  7.594E+000
   2.291E+014  2.863E+006  4.808E+002  1.631E+000  8.212E-002  2.242E-011  0.000E+000  0.000E+000  5.101E-014  0.000E+000  0.000E+000  7.711E+000
   2.455E+014  2.494E+006  4.581E+002  1.522E+000  9.481E-002  2.597E-011  0.000E+000  0.000E+000  6.195E-014  0.000E+000  0.000E+000  7.820E+000
   2.630E+014  2.172E+006  4.365E+002  1.421E+000  1.086E-001  3.013E-011  0.000E+000  0.000E+000  7.571E-014  0.000E+000  0.000E+000  7.921E+000
   2.818E+014  1.892E+006  4.159E+002  1.326E+000  1.233E-001  3.482E-011  0.000E+000  0.000E+000  9.243E-014  0.000E+000  0.000E+000  8.016E+000
   3.020E+014  1.648E+006  3.962E+002  1.237E+000  1.391E-001  3.984E-011  0.000E+000  0.000E+000  1.117E-013  0.000E+000  0.000E+000  8.105E+000
   3.236E+014  1.435E+006  3.775E+002  1.155E+000  1.558E-001  4.523E-011  0.000E+000  0.000E+000  1.342E-013  0.000E+000  0.000E+000  8.187E+000
   3.467E+014  1.250E+006  3.597E+002  1.078E+000  1.734E-001  5.197E-011  0.000E+000  0.000E+000  1.648E-013  0.000E+000  0.000E+000  8.264E+000
   3.715E+014  1.089E+006  3.427E+002  1.006E+000  1.917E-001  5.736E-011  0.000E+000  0.000E+000  1.915E-013  0.000E+000  0.000E+000  8.336E+000
   3.981E+014  9.482E+005  3.266E+002  9.386E-001  2.108E-001  6.387E-011  0.000E+000  0.000E+000  2.263E-013  0.000E+000  0.000E+000  8.403E+000
   4.266E+014  8.258E+005  3.111E+002  8.760E-001  2.306E-001  6.997E-011  0.000E+000  0.000E+000  2.618E-013  0.000E+000  0.000E+000  8.466E+000
   4.571E+014  7.193E+005  2.965E+002  8.175E-001  2.509E-001  7.684E-011  0.000E+000  0.000E+000  3.050E-013  0.000E+000  0.000E+000  8.524E+000
   4.898E+014  6.264E+005  2.825E+002  7.630E-001  2.717E-001  8.510E-011  0.000E+000  0.000E+000  3.622E-013  0.000E+000  0.000E+000  8.579E+000
   5.248E+014  5.456E+005  2.691E+002  7.120E-001  2.929E-001  9.218E-011  0.000E+000  0.000E+000  4.161E-013  0.000E+000  0.000E+000  8.630E+000
   5.623E+014  4.752E+005  2.564E+002  6.645E-001  3.145E-001  9.896E-011  0.000E+000  0.000E+000  4.722E-013  0.000E+000  0.000E+000  8.677E+000
   6.026E+014  4.139E+005  2.443E+002  6.202E-001  3.362E-001  1.070E-010  0.000E+000  0.000E+000  5.450E-013  0.000E+000  0.000E+000  8.722E+000
   6.457E+014  3.605E+005  2.328E+002  5.788E-001  3.582E-001  1.146E-010  0.000E+000  0.000E+000  6.204E-013  0.000E+000  0.000E+000  8.763E+000
   6.918E+014  3.140E+005  2.218E+002  5.401E-001  3.802E-001  1.222E-010  0.000E+000  0.000E+000  7.031E-013  0.000E+000  0.000E+000  8.802E+000
   7.413E+014  2.735E+005  2.113E+002  5.041E-001  4.022E-001  1.302E-010  0.000E+000  0.000E+000  7.989E-013  0.000E+000  0.000E+000  8.838E+000
   7.943E+014  2.382E+005  2.014E+002  4.704E-001  4.242E-001  1.377E-010  0.000E+000  0.000E+000  8.971E-013  0.000E+000  0.000E+000  8.872E+000
   8.511E+014  2.074E+005  1.919E+002  4.390E-001  4.460E-001  1.459E-010  0.000E+000  0.000E+000  1.015E-012  0.000E+000  0.000E+000  8.903E+000
