  ** CALCULATED FRACTIONAL ABUNDANCES (/H2) ** 


   RADIUS      H           H+          H-          H2+         H3+         He          He+         HeH+        C-          C+          
   1.000E+014  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  8.500E-002  0.000E+000  0.000E+000  0.000E+000  0.000E+000
   1.072E+014  2.346E-007  1.446E-013  3.605E-015  1.453E-015  1.332E-012  8.500E-002  1.622E-013  2.140E-017  5.148E-019  9.606E-013
   1.148E+014  5.213E-007  1.641E-013  4.168E-015  1.668E-015  1.518E-012  8.500E-002  1.856E-013  2.457E-017  3.102E-018  1.517E-012
   1.230E+014  8.631E-007  1.861E-013  4.734E-015  1.915E-015  1.730E-012  8.500E-002  2.124E-013  2.821E-017  8.171E-018  2.312E-012
   1.318E+014  1.267E-006  2.110E-013  5.357E-015  2.199E-015  1.971E-012  8.500E-002  2.430E-013  3.239E-017  1.560E-017  3.462E-012
   1.413E+014  1.739E-006  2.393E-013  6.031E-015  2.524E-015  2.245E-012  8.500E-002  2.780E-013  3.719E-017  2.538E-017  5.122E-012
   1.514E+014  2.286E-006  2.713E-013  6.747E-015  2.898E-015  2.557E-012  8.500E-002  3.180E-013  4.270E-017  3.774E-017  7.506E-012
   1.622E+014  2.915E-006  3.077E-013  7.494E-015  3.328E-015  2.913E-012  8.500E-002  3.637E-013  4.903E-017  5.317E-017  1.092E-011
   1.738E+014  3.632E-006  3.490E-013  8.260E-015  3.821E-015  3.317E-012  8.500E-002  4.160E-013  5.629E-017  7.236E-017  1.579E-011
   1.862E+014  4.444E-006  3.960E-013  9.033E-015  4.387E-015  3.777E-012  8.500E-002  4.757E-013  6.463E-017  9.616E-017  2.272E-011
   1.995E+014  5.360E-006  4.495E-013  9.799E-015  5.036E-015  4.300E-012  8.500E-002  5.440E-013  7.421E-017  1.256E-016  3.254E-011
   2.138E+014  6.387E-006  5.105E-013  1.054E-014  5.783E-015  4.895E-012  8.500E-002  6.220E-013  8.520E-017  1.621E-016  4.645E-011
   2.291E+014  7.533E-006  5.801E-013  1.125E-014  6.639E-015  5.573E-012  8.500E-002  7.112E-013  9.782E-017  2.071E-016  6.609E-011
   2.455E+014  8.807E-006  6.597E-013  1.192E-014  7.623E-015  6.344E-012  8.500E-002  8.131E-013  1.123E-016  2.627E-016  9.380E-011
   2.630E+014  1.022E-005  7.507E-013  1.254E-014  8.752E-015  7.221E-012  8.500E-002  9.296E-013  1.290E-016  3.312E-016  1.328E-010
   2.818E+014  1.177E-005  8.551E-013  1.310E-014  1.005E-014  8.219E-012  8.500E-002  1.063E-012  1.481E-016  4.157E-016  1.878E-010
   3.020E+014  1.348E-005  9.747E-013  1.360E-014  1.154E-014  9.354E-012  8.500E-002  1.215E-012  1.700E-016  5.199E-016  2.652E-010
   3.236E+014  1.535E-005  1.112E-012  1.405E-014  1.325E-014  1.065E-011  8.500E-002  1.389E-012  1.952E-016  6.485E-016  3.739E-010
   3.467E+014  1.738E-005  1.270E-012  1.445E-014  1.521E-014  1.212E-011  8.500E-002  1.587E-012  2.241E-016  8.075E-016  5.268E-010
   3.715E+014  1.958E-005  1.450E-012  1.479E-014  1.746E-014  1.379E-011  8.500E-002  1.815E-012  2.573E-016  1.004E-015  7.415E-010
   3.981E+014  2.195E-005  1.658E-012  1.510E-014  2.005E-014  1.569E-011  8.500E-002  2.075E-012  2.954E-016  1.248E-015  1.043E-009
   4.266E+014  2.449E-005  1.897E-012  1.537E-014  2.302E-014  1.785E-011  8.500E-002  2.372E-012  3.392E-016  1.550E-015  1.466E-009
   4.571E+014  2.719E-005  2.171E-012  1.561E-014  2.643E-014  2.031E-011  8.500E-002  2.712E-012  3.894E-016  1.924E-015  2.058E-009
   4.898E+014  3.005E-005  2.486E-012  1.583E-014  3.035E-014  2.310E-011  8.500E-002  3.102E-012  4.471E-016  2.390E-015  2.888E-009
   5.248E+014  3.306E-005  2.848E-012  1.603E-014  3.484E-014  2.627E-011  8.500E-002  3.548E-012  5.133E-016  2.968E-015  4.048E-009
   5.623E+014  3.621E-005  3.265E-012  1.621E-014  4.000E-014  2.985E-011  8.500E-002  4.059E-012  5.894E-016  3.687E-015  5.669E-009
   6.026E+014  3.949E-005  3.746E-012  1.639E-014  4.593E-014  3.391E-011  8.500E-002  4.644E-012  6.767E-016  4.578E-015  7.930E-009
   6.457E+014  4.289E-005  4.299E-012  1.655E-014  5.273E-014  3.849E-011  8.500E-002  5.315E-012  7.769E-016  5.680E-015  1.108E-008
   6.918E+014  4.640E-005  4.938E-012  1.670E-014  6.055E-014  4.364E-011  8.500E-002  6.084E-012  8.920E-016  7.037E-015  1.546E-008
   7.413E+014  5.000E-005  5.677E-012  1.684E-014  6.952E-014  4.942E-011  8.500E-002  6.965E-012  1.024E-015  8.699E-015  2.155E-008
   7.943E+014  5.369E-005  6.534E-012  1.697E-014  7.981E-014  5.588E-011  8.500E-002  7.974E-012  1.176E-015  1.072E-014  2.997E-008
   8.511E+014  5.747E-005  7.529E-012  1.707E-014  9.164E-014  6.307E-011  8.500E-002  9.131E-012  1.350E-015  1.316E-014  4.160E-008
   9.120E+014  6.133E-005  8.687E-012  1.717E-014  1.052E-013  7.102E-011  8.500E-002  1.046E-011  1.550E-015  1.607E-014  5.760E-008
   9.772E+014  6.527E-005  1.004E-011  1.725E-014  1.208E-013  7.977E-011  8.500E-002  1.197E-011  1.780E-015  1.952E-014  7.951E-008
   1.047E+015  6.930E-005  1.162E-011  1.732E-014  1.387E-013  8.932E-011  8.500E-002  1.371E-011  2.043E-015  2.356E-014  1.094E-007
   1.122E+015  7.341E-005  1.348E-011  1.736E-014  1.592E-013  9.966E-011  8.500E-002  1.569E-011  2.346E-015  2.825E-014  1.498E-007
   1.202E+015  7.762E-005  1.568E-011  1.739E-014  1.828E-013  1.108E-010  8.500E-002  1.797E-011  2.693E-015  3.364E-014  2.042E-007
   1.288E+015  8.194E-005  1.827E-011  1.740E-014  2.099E-013  1.226E-010  8.500E-002  2.057E-011  3.092E-015  3.977E-014  2.769E-007
   1.380E+015  8.639E-005  2.135E-011  1.739E-014  2.410E-013  1.349E-010  8.500E-002  2.356E-011  3.550E-015  4.665E-014  3.733E-007
   1.479E+015  9.097E-005  2.503E-011  1.737E-014  2.767E-013  1.477E-010  8.500E-002  2.698E-011  4.076E-015  5.432E-014  5.001E-007
   1.585E+015  9.571E-005  2.945E-011  1.734E-014  3.177E-013  1.608E-010  8.500E-002  3.090E-011  4.679E-015  6.275E-014  6.655E-007
   1.698E+015  1.006E-004  3.478E-011  1.730E-014  3.647E-013  1.739E-010  8.500E-002  3.540E-011  5.372E-015  7.194E-014  8.795E-007
   1.820E+015  1.057E-004  4.127E-011  1.725E-014  4.187E-013  1.868E-010  8.500E-002  4.057E-011  6.168E-015  8.184E-014  1.154E-006
   1.950E+015  1.111E-004  4.922E-011  1.720E-014  4.808E-013  1.992E-010  8.500E-002  4.651E-011  7.081E-015  9.241E-014  1.502E-006
   2.089E+015  1.166E-004  5.904E-011  1.713E-014  5.520E-013  2.109E-010  8.500E-002  5.334E-011  8.129E-015  1.036E-013  1.942E-006
   2.239E+015  1.225E-004  7.128E-011  1.707E-014  6.337E-013  2.216E-010  8.500E-002  6.120E-011  9.331E-015  1.152E-013  2.490E-006
   2.399E+015  1.286E-004  8.666E-011  1.699E-014  7.275E-013  2.310E-010  8.500E-002  7.025E-011  1.071E-014  1.273E-013  3.171E-006
   2.570E+015  1.350E-004  1.061E-010  1.691E-014  8.352E-013  2.392E-010  8.500E-002  8.069E-011  1.230E-014  1.397E-013  4.007E-006
   2.754E+015  1.417E-004  1.308E-010  1.683E-014  9.589E-013  2.458E-010  8.500E-002  9.272E-011  1.412E-014  1.523E-013  5.028E-006
   2.951E+015  1.488E-004  1.623E-010  1.673E-014  1.101E-012  2.511E-010  8.500E-002  1.066E-010  1.620E-014  1.649E-013  6.266E-006
   3.162E+015  1.562E-004  2.026E-010  1.663E-014  1.264E-012  2.549E-010  8.500E-002  1.226E-010  1.860E-014  1.773E-013  7.757E-006
   3.388E+015  1.639E-004  2.538E-010  1.652E-014  1.451E-012  2.575E-010  8.500E-002  1.411E-010  2.135E-014  1.895E-013  9.541E-006
   3.631E+015  1.720E-004  3.188E-010  1.640E-014  1.665E-012  2.591E-010  8.500E-002  1.624E-010  2.450E-014  2.013E-013  1.166E-005
   3.890E+015  1.803E-004  4.008E-010  1.627E-014  1.912E-012  2.598E-010  8.500E-002  1.870E-010  2.811E-014  2.125E-013  1.417E-005
   4.169E+015  1.888E-004  5.032E-010  1.612E-014  2.194E-012  2.598E-010  8.500E-002  2.153E-010  3.226E-014  2.229E-013  1.712E-005
   4.467E+015  1.976E-004  6.300E-010  1.596E-014  2.519E-012  2.594E-010  8.500E-002  2.480E-010  3.702E-014  2.324E-013  2.057E-005
   4.786E+015  2.063E-004  7.849E-010  1.579E-014  2.891E-012  2.586E-010  8.500E-002  2.856E-010  4.247E-014  2.409E-013  2.457E-005
   5.129E+015  2.151E-004  9.716E-010  1.560E-014  3.318E-012  2.576E-010  8.500E-002  3.288E-010  4.872E-014  2.483E-013  2.921E-005
   5.495E+015  2.237E-004  1.193E-009  1.540E-014  3.808E-012  2.566E-010  8.500E-002  3.786E-010  5.589E-014  2.545E-013  3.453E-005
   5.888E+015  2.320E-004  1.451E-009  1.518E-014  4.370E-012  2.556E-010  8.500E-002  4.358E-010  6.410E-014  2.596E-013  4.061E-005
   6.310E+015  2.400E-004  1.746E-009  1.496E-014  5.015E-012  2.547E-010  8.500E-002  5.015E-010  7.350E-014  2.634E-013  4.753E-005
   6.761E+015  2.474E-004  2.076E-009  1.472E-014  5.754E-012  2.539E-010  8.500E-002  5.768E-010  8.427E-014  2.660E-013  5.535E-005
   7.244E+015  2.542E-004  2.437E-009  1.448E-014  6.602E-012  2.532E-010  8.500E-002  6.633E-010  9.659E-014  2.676E-013  6.416E-005
   7.762E+015  2.602E-004  2.822E-009  1.423E-014  7.574E-012  2.528E-010  8.500E-002  7.625E-010  1.107E-013  2.681E-013  7.402E-005
   8.318E+015  2.655E-004  3.224E-009  1.399E-014  8.689E-012  2.526E-010  8.500E-002  8.761E-010  1.268E-013  2.678E-013  8.502E-005
   8.913E+015  2.700E-004  3.630E-009  1.375E-014  9.966E-012  2.526E-010  8.500E-002  1.006E-009  1.453E-013  2.669E-013  9.724E-005
   9.550E+015  2.736E-004  4.032E-009  1.351E-014  1.143E-011  2.528E-010  8.500E-002  1.156E-009  1.663E-013  2.654E-013  1.108E-004
   1.023E+016  2.766E-004  4.418E-009  1.328E-014  1.311E-011  2.532E-010  8.500E-002  1.327E-009  1.904E-013  2.635E-013  1.258E-004
   1.096E+016  2.789E-004  4.780E-009  1.307E-014  1.503E-011  2.539E-010  8.500E-002  1.523E-009  2.178E-013  2.614E-013  1.423E-004
   1.175E+016  2.806E-004  5.113E-009  1.287E-014  1.722E-011  2.548E-010  8.500E-002  1.748E-009  2.491E-013  2.588E-013  1.605E-004
   1.259E+016  2.819E-004  5.415E-009  1.268E-014  1.974E-011  2.559E-010  8.500E-002  2.005E-009  2.847E-013  2.555E-013  1.805E-004
   1.349E+016  2.828E-004  5.689E-009  1.268E-014  2.262E-011  2.645E-010  8.500E-002  2.300E-009  3.255E-013  2.553E-013  2.023E-004
   1.445E+016  2.835E-004  5.944E-009  1.269E-014  2.593E-011  2.746E-010  8.500E-002  2.638E-009  3.722E-013  2.530E-013  2.261E-004
   1.549E+016  2.839E-004  6.187E-009  1.269E-014  2.971E-011  2.857E-010  8.500E-002  3.025E-009  4.253E-013  2.474E-013  2.516E-004
   1.660E+016  2.843E-004  6.425E-009  1.269E-014  3.404E-011  2.983E-010  8.500E-002  3.465E-009  4.859E-013  2.373E-013  2.787E-004
   1.778E+016  2.846E-004  6.667E-009  1.270E-014  3.899E-011  3.129E-010  8.500E-002  3.965E-009  5.551E-013  2.219E-013  3.067E-004
   1.905E+016  2.848E-004  6.919E-009  1.271E-014  4.466E-011  3.304E-010  8.500E-002  4.530E-009  6.340E-013  2.008E-013  3.350E-004
   2.042E+016  2.851E-004  7.189E-009  1.271E-014  5.115E-011  3.515E-010  8.500E-002  5.163E-009  7.241E-013  1.748E-013  3.626E-004
   2.188E+016  2.853E-004  7.482E-009  1.272E-014  5.859E-011  3.773E-010  8.500E-002  5.867E-009  8.273E-013  1.456E-013  3.884E-004
   2.344E+016  2.855E-004  7.803E-009  1.273E-014  6.712E-011  4.091E-010  8.500E-002  6.647E-009  9.454E-013  1.156E-013  4.117E-004
   2.512E+016  2.857E-004  8.158E-009  1.274E-014  7.689E-011  4.480E-010  8.500E-002  7.502E-009  1.081E-012  8.721E-014  4.317E-004
   2.692E+016  2.859E-004  8.552E-009  1.276E-014  8.809E-011  4.953E-010  8.500E-002  8.435E-009  1.236E-012  6.257E-014  4.481E-004
   2.884E+016  2.861E-004  8.990E-009  1.277E-014  1.009E-010  5.523E-010  8.500E-002  9.448E-009  1.414E-012  4.275E-014  4.609E-004
   3.090E+016  2.863E-004  9.479E-009  1.278E-014  1.156E-010  6.203E-010  8.500E-002  1.054E-008  1.619E-012  2.792E-014  4.704E-004
   3.311E+016  2.865E-004  1.003E-008  1.279E-014  1.325E-010  7.007E-010  8.500E-002  1.173E-008  1.853E-012  1.754E-014  4.772E-004
   3.548E+016  2.867E-004  1.064E-008  1.280E-014  1.518E-010  7.949E-010  8.500E-002  1.300E-008  2.122E-012  1.070E-014  4.818E-004
   3.802E+016  2.869E-004  1.133E-008  1.281E-014  1.738E-010  9.046E-010  8.500E-002  1.437E-008  2.429E-012  6.425E-015  4.848E-004
   4.074E+016  2.871E-004  1.210E-008  1.281E-014  1.991E-010  1.031E-009  8.500E-002  1.584E-008  2.781E-012  3.865E-015  4.866E-004
   4.365E+016  2.873E-004  1.298E-008  1.282E-014  2.279E-010  1.177E-009  8.500E-002  1.741E-008  3.182E-012  2.375E-015  4.877E-004
   4.677E+016  2.875E-004  1.398E-008  1.282E-014  2.607E-010  1.345E-009  8.500E-002  1.910E-008  3.641E-012  1.515E-015  4.884E-004
   5.012E+016  2.877E-004  1.513E-008  1.283E-014  2.982E-010  1.536E-009  8.500E-002  2.092E-008  4.163E-012  1.012E-015  4.888E-004
