  ** CALCULATED FRACTIONAL ABUNDANCES (/H2) ** 


   RADIUS      H           H+          H-          H2+         H3+         He          He+         HeH+        C-          C+          
   1.000E+014  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  8.500E-002  0.000E+000  0.000E+000  0.000E+000  0.000E+000
   1.072E+014  5.708E-007  3.279E-013  4.846E-015  2.905E-015  2.921E-012  8.500E-002  3.358E-013  4.281E-017  8.069E-019  1.459E-013
   1.148E+014  1.242E-006  3.851E-013  5.813E-015  3.336E-015  3.343E-012  8.500E-002  3.850E-013  4.915E-017  3.697E-018  2.182E-013
   1.230E+014  2.011E-006  4.400E-013  6.732E-015  3.830E-015  3.826E-012  8.500E-002  4.414E-013  5.643E-017  8.893E-018  3.322E-013
   1.318E+014  2.885E-006  5.020E-013  7.807E-015  4.397E-015  4.378E-012  8.500E-002  5.060E-013  6.479E-017  1.694E-017  5.201E-013
   1.413E+014  3.873E-006  5.727E-013  9.020E-015  5.049E-015  5.010E-012  8.500E-002  5.800E-013  7.439E-017  2.866E-017  8.329E-013
   1.514E+014  4.983E-006  6.531E-013  1.034E-014  5.797E-015  5.734E-012  8.500E-002  6.648E-013  8.541E-017  4.526E-017  1.355E-012
   1.622E+014  6.225E-006  7.446E-013  1.175E-014  6.655E-015  6.561E-012  8.500E-002  7.620E-013  9.806E-017  6.838E-017  2.225E-012
   1.738E+014  7.609E-006  8.487E-013  1.323E-014  7.641E-015  7.506E-012  8.500E-002  8.733E-013  1.126E-016  1.002E-016  3.667E-012
   1.862E+014  9.146E-006  9.670E-013  1.478E-014  8.773E-015  8.587E-012  8.500E-002  1.001E-012  1.293E-016  1.434E-016  6.041E-012
   1.995E+014  1.085E-005  1.102E-012  1.636E-014  1.007E-014  9.821E-012  8.500E-002  1.147E-012  1.484E-016  2.013E-016  9.913E-012
   2.138E+014  1.273E-005  1.254E-012  1.798E-014  1.157E-014  1.123E-011  8.500E-002  1.314E-012  1.704E-016  2.780E-016  1.617E-011
   2.291E+014  1.481E-005  1.428E-012  1.962E-014  1.328E-014  1.284E-011  8.500E-002  1.505E-012  1.957E-016  3.780E-016  2.615E-011
   2.455E+014  1.710E-005  1.625E-012  2.127E-014  1.525E-014  1.468E-011  8.500E-002  1.724E-012  2.246E-016  5.067E-016  4.194E-011
   2.630E+014  1.961E-005  1.849E-012  2.293E-014  1.750E-014  1.678E-011  8.500E-002  1.975E-012  2.579E-016  6.700E-016  6.662E-011
   2.818E+014  2.236E-005  2.104E-012  2.459E-014  2.010E-014  1.917E-011  8.500E-002  2.262E-012  2.961E-016  8.745E-016  1.048E-010
   3.020E+014  2.538E-005  2.392E-012  2.624E-014  2.308E-014  2.190E-011  8.500E-002  2.591E-012  3.400E-016  1.127E-015  1.632E-010
   3.236E+014  2.869E-005  2.719E-012  2.790E-014  2.649E-014  2.501E-011  8.500E-002  2.966E-012  3.904E-016  1.436E-015  2.516E-010
   3.467E+014  3.229E-005  3.090E-012  2.956E-014  3.042E-014  2.855E-011  8.500E-002  3.396E-012  4.482E-016  1.808E-015  3.843E-010
   3.715E+014  3.623E-005  3.511E-012  3.123E-014  3.493E-014  3.257E-011  8.500E-002  3.888E-012  5.146E-016  2.253E-015  5.816E-010
   3.981E+014  4.052E-005  3.987E-012  3.290E-014  4.010E-014  3.716E-011  8.500E-002  4.451E-012  5.908E-016  2.779E-015  8.721E-010
   4.266E+014  4.519E-005  4.528E-012  3.458E-014  4.604E-014  4.237E-011  8.500E-002  5.094E-012  6.783E-016  3.396E-015  1.297E-009
   4.571E+014  5.027E-005  5.140E-012  3.629E-014  5.286E-014  4.828E-011  8.500E-002  5.829E-012  7.788E-016  4.115E-015  1.912E-009
   4.898E+014  5.578E-005  5.835E-012  3.802E-014  6.069E-014  5.500E-011  8.500E-002  6.669E-012  8.942E-016  4.946E-015  2.796E-009
