index      lr         z_dim      nb_evol   
1          11         1e-05      8           
2          11         1e-05      16          
3          11         1e-05      32          
4          11         0.0001     8           
5          11         0.0001     16          
6          11         0.0001     32 

7          22         1e-05      8           
8          22         1e-05      16          
9          22         1e-05      32          
10         22         0.0001     8           
11         22         0.0001     16          
12         22         0.0001     32  

13         33         1e-05      8           
14         33         1e-05      16          
15         33         1e-05      32          
16         33         0.0001     8           
17         33         0.0001     16          
18         33         0.0001     32   

19         44         1e-05      8           
20         44         1e-05      16          
21         44         1e-05      32          
22         44         0.0001     8           
23         44         0.0001     16          
24         44         0.0001     32          
