  ** CALCULATED FRACTIONAL ABUNDANCES (/H2) ** 


   RADIUS      H           H+          H-          H2+         H3+         He          He+         HeH+        C-          C+          
   1.000E+014  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  8.500E-002  0.000E+000  0.000E+000  0.000E+000  0.000E+000
   1.072E+014  2.256E-010  3.046E-015  5.864E-017  2.542E-017  2.568E-014  8.500E-002  2.965E-015  3.746E-019  3.534E-025  8.952E-016
   1.148E+014  4.476E-010  3.481E-015  6.769E-017  2.919E-017  2.942E-014  8.500E-002  3.401E-015  4.301E-019  1.011E-024  1.118E-015
   1.230E+014  6.678E-010  3.977E-015  7.815E-017  3.351E-017  3.369E-014  8.500E-002  3.901E-015  4.938E-019  2.157E-024  1.400E-015
   1.318E+014  8.891E-010  4.545E-015  9.021E-017  3.848E-017  3.859E-014  8.500E-002  4.475E-015  5.669E-019  4.078E-024  1.756E-015
   1.413E+014  1.113E-009  5.194E-015  1.041E-016  4.418E-017  4.420E-014  8.500E-002  5.133E-015  6.509E-019  7.217E-024  2.206E-015
   1.514E+014  1.342E-009  5.935E-015  1.202E-016  5.072E-017  5.063E-014  8.500E-002  5.888E-015  7.473E-019  1.222E-023  2.778E-015
   1.622E+014  1.577E-009  6.782E-015  1.388E-016  5.824E-017  5.798E-014  8.500E-002  6.753E-015  8.581E-019  2.005E-023  3.504E-015
   1.738E+014  1.819E-009  7.749E-015  1.603E-016  6.686E-017  6.640E-014  8.500E-002  7.746E-015  9.852E-019  3.201E-023  4.427E-015
   1.862E+014  2.067E-009  8.854E-015  1.851E-016  7.677E-017  7.605E-014  8.500E-002  8.884E-015  1.131E-018  4.989E-023  5.604E-015
   1.995E+014  2.322E-009  1.012E-014  2.137E-016  8.814E-017  8.709E-014  8.500E-002  1.019E-014  1.299E-018  7.599E-023  7.105E-015
   2.138E+014  2.584E-009  1.156E-014  2.468E-016  1.012E-016  9.974E-014  8.500E-002  1.169E-014  1.491E-018  1.131E-022  9.021E-015
   2.291E+014  2.853E-009  1.320E-014  2.851E-016  1.162E-016  1.142E-013  8.500E-002  1.340E-014  1.712E-018  1.642E-022  1.147E-014
   2.455E+014  3.129E-009  1.508E-014  3.292E-016  1.334E-016  1.308E-013  8.500E-002  1.537E-014  1.966E-018  2.327E-022  1.460E-014
   2.630E+014  3.412E-009  1.723E-014  3.802E-016  1.532E-016  1.498E-013  8.500E-002  1.763E-014  2.257E-018  3.218E-022  1.859E-014
   2.818E+014  3.705E-009  1.969E-014  4.391E-016  1.759E-016  1.715E-013  8.500E-002  2.022E-014  2.591E-018  4.344E-022  2.370E-014
   3.020E+014  4.008E-009  2.249E-014  5.072E-016  2.019E-016  1.964E-013  8.500E-002  2.319E-014  2.975E-018  5.734E-022  3.020E-014
   3.236E+014  4.323E-009  2.569E-014  5.859E-016  2.318E-016  2.248E-013  8.500E-002  2.659E-014  3.416E-018  7.414E-022  3.849E-014
   3.467E+014  4.654E-009  2.934E-014  6.768E-016  2.662E-016  2.574E-013  8.500E-002  3.050E-014  3.922E-018  9.416E-022  4.901E-014
   3.715E+014  5.002E-009  3.351E-014  7.818E-016  3.056E-016  2.947E-013  8.500E-002  3.497E-014  4.503E-018  1.178E-021  6.233E-014
   3.981E+014  5.370E-009  3.828E-014  9.032E-016  3.509E-016  3.375E-013  8.500E-002  4.011E-014  5.170E-018  1.454E-021  7.912E-014
   4.266E+014  5.761E-009  4.372E-014  1.043E-015  4.029E-016  3.864E-013  8.500E-002  4.599E-014  5.936E-018  1.777E-021  1.002E-013
   4.571E+014  6.177E-009  4.993E-014  1.205E-015  4.626E-016  4.423E-013  8.500E-002  5.274E-014  6.816E-018  2.154E-021  1.265E-013
   4.898E+014  6.620E-009  5.702E-014  1.393E-015  5.311E-016  5.064E-013  8.500E-002  6.048E-014  7.826E-018  2.594E-021  1.590E-013
   5.248E+014  7.095E-009  6.512E-014  1.609E-015  6.098E-016  5.797E-013  8.500E-002  6.935E-014  8.985E-018  3.109E-021  1.991E-013
   5.623E+014  7.604E-009  7.436E-014  1.859E-015  7.001E-016  6.636E-013  8.500E-002  7.952E-014  1.032E-017  3.714E-021  2.479E-013
   6.026E+014  8.155E-009  8.492E-014  2.148E-015  8.039E-016  7.597E-013  8.500E-002  9.118E-014  1.184E-017  4.426E-021  3.070E-013
   6.457E+014  8.759E-009  9.696E-014  2.481E-015  9.230E-016  8.696E-013  8.500E-002  1.046E-013  1.360E-017  5.268E-021  3.777E-013
   6.918E+014  9.437E-009  1.107E-013  2.867E-015  1.060E-015  9.954E-013  8.500E-002  1.199E-013  1.561E-017  6.272E-021  4.617E-013
   7.413E+014  1.023E-008  1.264E-013  3.312E-015  1.217E-015  1.139E-012  8.500E-002  1.374E-013  1.793E-017  7.482E-021  5.605E-013
   7.943E+014  1.121E-008  1.443E-013  3.826E-015  1.397E-015  1.304E-012  8.500E-002  1.576E-013  2.058E-017  8.969E-021  6.757E-013
   8.511E+014  1.249E-008  1.648E-013  4.420E-015  1.604E-015  1.493E-012  8.500E-002  1.807E-013  2.363E-017  1.085E-020  8.091E-013
