  ** CALCULATED NUMBER DENSITIES (/CM^3) ** 


   RADIUS      H           H+          H-          H2+         H3+         He          He+         HeH+        C-          C+          
   1.000E+014  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  5.474E+007  0.000E+000  0.000E+000  0.000E+000  0.000E+000
   1.072E+014  1.319E-001  6.950E-007  1.291E-008  5.704E-009  5.812E-006  4.768E+007  6.676E-007  8.404E-011  4.281E-017  1.499E-007
   1.148E+014  2.170E-001  6.923E-007  1.297E-008  5.704E-009  5.800E-006  4.153E+007  6.671E-007  8.404E-011  1.017E-016  1.604E-007
   1.230E+014  2.717E-001  6.896E-007  1.303E-008  5.704E-009  5.789E-006  3.617E+007  6.665E-007  8.404E-011  1.801E-016  1.718E-007
   1.318E+014  3.061E-001  6.868E-007  1.309E-008  5.704E-009  5.777E-006  3.150E+007  6.660E-007  8.404E-011  2.825E-016  1.843E-007
   1.413E+014  3.268E-001  6.841E-007  1.315E-008  5.704E-009  5.765E-006  2.744E+007  6.655E-007  8.404E-011  4.150E-016  1.981E-007
   1.514E+014  3.381E-001  6.813E-007  1.321E-008  5.704E-009  5.753E-006  2.390E+007  6.649E-007  8.404E-011  5.849E-016  2.132E-007
   1.622E+014  3.426E-001  6.785E-007  1.328E-008  5.704E-009  5.741E-006  2.081E+007  6.644E-007  8.404E-011  8.020E-016  2.298E-007
   1.738E+014  3.424E-001  6.758E-007  1.334E-008  5.704E-009  5.729E-006  1.813E+007  6.638E-007  8.404E-011  1.078E-015  2.481E-007
   1.862E+014  3.385E-001  6.730E-007  1.341E-008  5.704E-009  5.717E-006  1.579E+007  6.633E-007  8.404E-011  1.429E-015  2.682E-007
   1.995E+014  3.320E-001  6.702E-007  1.347E-008  5.704E-009  5.705E-006  1.375E+007  6.627E-007  8.404E-011  1.873E-015  2.904E-007
   2.138E+014  3.234E-001  6.674E-007  1.354E-008  5.704E-009  5.692E-006  1.198E+007  6.621E-007  8.404E-011  2.432E-015  3.149E-007
   2.291E+014  3.133E-001  6.646E-007  1.360E-008  5.704E-009  5.680E-006  1.043E+007  6.615E-007  8.404E-011  3.130E-015  3.419E-007
   2.455E+014  3.021E-001  6.618E-007  1.367E-008  5.704E-009  5.667E-006  9.085E+006  6.609E-007  8.404E-011  3.993E-015  3.717E-007
   2.630E+014  2.899E-001  6.590E-007  1.374E-008  5.704E-009  5.655E-006  7.913E+006  6.603E-007  8.404E-011  5.050E-015  4.047E-007
   2.818E+014  2.772E-001  6.562E-007  1.381E-008  5.704E-009  5.642E-006  6.892E+006  6.597E-007  8.404E-011  6.318E-015  4.412E-007
   3.020E+014  2.640E-001  6.534E-007  1.388E-008  5.704E-009  5.630E-006  6.002E+006  6.591E-007  8.404E-011  7.814E-015  4.816E-007
   3.236E+014  2.506E-001  6.506E-007  1.395E-008  5.704E-009  5.617E-006  5.228E+006  6.585E-007  8.404E-011  9.539E-015  5.262E-007
   3.467E+014  2.370E-001  6.478E-007  1.402E-008  5.704E-009  5.604E-006  4.553E+006  6.579E-007  8.404E-011  1.148E-014  5.754E-007
   3.715E+014  2.236E-001  6.450E-007  1.410E-008  5.704E-009  5.591E-006  3.966E+006  6.573E-007  8.404E-011  1.360E-014  6.298E-007
   3.981E+014  2.104E-001  6.422E-007  1.417E-008  5.704E-009  5.578E-006  3.454E+006  6.566E-007  8.404E-011  1.585E-014  6.897E-007
   4.266E+014  1.975E-001  6.394E-007  1.424E-008  5.704E-009  5.565E-006  3.008E+006  6.560E-007  8.404E-011  1.817E-014  7.557E-007
   4.571E+014  1.852E-001  6.365E-007  1.432E-008  5.704E-009  5.552E-006  2.620E+006  6.554E-007  8.404E-011  2.052E-014  8.281E-007
   4.898E+014  1.733E-001  6.337E-007  1.440E-008  5.704E-009  5.539E-006  2.282E+006  6.547E-007  8.404E-011  2.282E-014  9.074E-007
   5.248E+014  1.621E-001  6.309E-007  1.447E-008  5.704E-009  5.525E-006  1.988E+006  6.540E-007  8.404E-011  2.505E-014  9.939E-007
   5.623E+014  1.515E-001  6.280E-007  1.455E-008  5.704E-009  5.512E-006  1.731E+006  6.534E-007  8.404E-011  2.718E-014  1.088E-006
   6.026E+014  1.415E-001  6.252E-007  1.463E-008  5.704E-009  5.498E-006  1.508E+006  6.527E-007  8.404E-011  2.919E-014  1.189E-006
   6.457E+014  1.322E-001  6.224E-007  1.471E-008  5.704E-009  5.485E-006  1.313E+006  6.520E-007  8.404E-011  3.109E-014  1.298E-006
   6.918E+014  1.235E-001  6.195E-007  1.479E-008  5.704E-009  5.471E-006  1.144E+006  6.513E-007  8.404E-011  3.289E-014  1.415E-006
   7.413E+014  1.154E-001  6.167E-007  1.487E-008  5.704E-009  5.458E-006  9.962E+005  6.506E-007  8.404E-011  3.461E-014  1.538E-006
   7.943E+014  1.078E-001  6.138E-007  1.495E-008  5.704E-009  5.444E-006  8.676E+005  6.499E-007  8.404E-011  3.627E-014  1.667E-006
   8.511E+014  1.007E-001  6.110E-007  1.503E-008  5.704E-009  5.430E-006  7.557E+005  6.492E-007  8.404E-011  3.787E-014  1.801E-006
   9.120E+014  9.411E-002  6.081E-007  1.512E-008  5.704E-009  5.416E-006  6.582E+005  6.485E-007  8.404E-011  3.945E-014  1.938E-006
   9.772E+014  8.794E-002  6.053E-007  1.520E-008  5.704E-009  5.402E-006  5.732E+005  6.477E-007  8.404E-011  4.100E-014  2.077E-006
   1.047E+015  8.217E-002  6.024E-007  1.529E-008  5.704E-009  5.388E-006  4.993E+005  6.470E-007  8.404E-011  4.256E-014  2.217E-006
   1.122E+015  7.677E-002  5.995E-007  1.537E-008  5.704E-009  5.374E-006  4.348E+005  6.462E-007  8.404E-011  4.412E-014  2.354E-006
   1.202E+015  7.172E-002  5.967E-007  1.546E-008  5.704E-009  5.359E-006  3.787E+005  6.455E-007  8.404E-011  4.569E-014  2.486E-006
   1.288E+015  6.700E-002  5.938E-007  1.555E-008  5.704E-009  5.345E-006  3.299E+005  6.447E-007  8.404E-011  4.729E-014  2.613E-006
   1.380E+015  6.260E-002  5.909E-007  1.563E-008  5.704E-009  5.331E-006  2.873E+005  6.439E-007  8.404E-011  4.892E-014  2.731E-006
   1.479E+015  5.851E-002  5.880E-007  1.572E-008  5.704E-009  5.316E-006  2.502E+005  6.431E-007  8.404E-011  5.061E-014  2.839E-006
   1.585E+015  5.475E-002  5.851E-007  1.581E-008  5.704E-009  5.301E-006  2.179E+005  6.423E-007  8.404E-011  5.237E-014  2.937E-006
   1.698E+015  5.136E-002  5.823E-007  1.589E-008  5.704E-009  5.287E-006  1.898E+005  6.415E-007  8.404E-011  5.428E-014  3.022E-006
   1.820E+015  4.843E-002  5.794E-007  1.598E-008  5.704E-009  5.272E-006  1.653E+005  6.407E-007  8.404E-011  5.641E-014  3.096E-006
   1.950E+015  4.608E-002  5.764E-007  1.606E-008  5.704E-009  5.257E-006  1.440E+005  6.399E-007  8.404E-011  5.895E-014  3.157E-006
   2.089E+015  4.452E-002  5.735E-007  1.614E-008  5.704E-009  5.242E-006  1.254E+005  6.391E-007  8.404E-011  6.217E-014  3.207E-006
   2.239E+015  4.403E-002  5.706E-007  1.622E-008  5.704E-009  5.227E-006  1.092E+005  6.382E-007  8.404E-011  6.653E-014  3.245E-006
   2.399E+015  4.500E-002  5.677E-007  1.629E-008  5.704E-009  5.212E-006  9.513E+004  6.373E-007  8.404E-011  7.279E-014  3.273E-006
   2.570E+015  4.796E-002  5.648E-007  1.634E-008  5.704E-009  5.196E-006  8.286E+004  6.365E-007  8.404E-011  8.214E-014  3.291E-006
   2.754E+015  5.356E-002  5.618E-007  1.638E-008  5.704E-009  5.181E-006  7.217E+004  6.356E-007  8.404E-011  9.652E-014  3.301E-006
   2.951E+015  6.260E-002  5.589E-007  1.639E-008  5.704E-009  5.166E-006  6.285E+004  6.347E-007  8.404E-011  1.191E-013  3.304E-006
   3.162E+015  7.601E-002  5.560E-007  1.636E-008  5.704E-009  5.150E-006  5.474E+004  6.338E-007  8.404E-011  1.551E-013  3.301E-006
   3.388E+015  9.485E-002  5.530E-007  1.628E-008  5.704E-009  5.134E-006  4.768E+004  6.329E-007  8.404E-011  2.132E-013  3.293E-006
   3.631E+015  1.203E-001  5.501E-007  1.613E-008  5.704E-009  5.118E-006  4.153E+004  6.319E-007  8.404E-011  3.078E-013  3.282E-006
   3.890E+015  1.535E-001  5.472E-007  1.589E-008  5.703E-009  5.102E-006  3.617E+004  6.310E-007  8.404E-011  4.624E-013  3.271E-006
   4.169E+015  1.959E-001  5.443E-007  1.553E-008  5.703E-009  5.085E-006  3.150E+004  6.301E-007  8.404E-011  7.127E-013  3.264E-006
   4.467E+015  2.486E-001  5.414E-007  1.504E-008  5.703E-009  5.069E-006  2.744E+004  6.291E-007  8.404E-011  1.111E-012  3.266E-006
   4.786E+015  3.127E-001  5.386E-007  1.439E-008  5.703E-009  5.051E-006  2.390E+004  6.282E-007  8.404E-011  1.729E-012  3.291E-006
   5.129E+015  3.893E-001  5.359E-007  1.358E-008  5.703E-009  5.034E-006  2.081E+004  6.272E-007  8.404E-011  2.658E-012  3.358E-006
   5.495E+015  4.791E-001  5.333E-007  1.262E-008  5.703E-009  5.016E-006  1.813E+004  6.262E-007  8.404E-011  4.011E-012  3.501E-006
   5.888E+015  5.827E-001  5.309E-007  1.153E-008  5.703E-009  4.998E-006  1.579E+004  6.253E-007  8.404E-011  5.919E-012  3.774E-006
   6.310E+015  7.000E-001  5.288E-007  1.035E-008  5.703E-009  4.980E-006  1.375E+004  6.244E-007  8.404E-011  8.540E-012  4.268E-006
